ItemID,Item_Name,Calories,Fat_value,Carbohydrates,Protein,Sodium ,Potassium
1,Pale Brown dates,1340,0.35,74.91,2.45,,
2,Dark Brown Dates,1301,0.35,72.67,2.38,,
3,Processed Dates,1197,0.41,67.95,1.18,,
4,Fig,341,0.37,16.28,2.03,,
5,Gooseberry,99,0.16,4.39,0.34,,
6,Black grapes seeded,254,0.32,13.23,0.76,,
7,Green grapes seeded,235,0.29,12.19,0.77,,
8,Red grapes seeded,244,0.29,12.55,0.95,,
9,Black grapes seedless,395,0.46,20.48,1.41,,
10,Green grapes seedless,224,0.26,11.81,0.62,,
11,Red grapes seedless,374,0.35,19.86,1.24,,
12,White Flesh Guava,135,0.32,5.13,1.44,,
13,Pink Flesh Guava,195,0.25,9.14,1.19,,
14,Jack Fruit,302,0.15,14.01,2.74,,
15,Jambu Fruit,235,0.17,12.3,0.82,,
16,Karonda fruit,141,1.67,2.87,1.15,,
17,Lemon Juice,153,0.75,6.97,0.41,,
18,Lime sweet,114,0.2,5.18,0.76,,
19,Litchi,225,0.26,11.41,0.99,,
20,Mango riped,175,0.55,8.18,0.54,,
21,Mango riped himsagar,187,0.46,9.03,0.54,,
22,Mango riped totapari,248,0.49,12.75,0.41,,
23,Mango riped kesar,231,0.57,11.36,0.54,,
24,Mango riped neelam ,178,0.55,8.21,0.68,,
25,Mango Riped paheri,188,0.58,8.67,0.68,,
26,Mangosteen,219,0.24,11.41,0.63,,
27,Manilla Tamarind,342,1.14,13.54,3.56,,
28,Musk melon,116,0.35,4.24,0.42,,
29,Orange,156,0.13,7.92,0.7,,
30,Palm Fruit,101,0.12,4.92,0.5,,
31,Papaya,100,0.16,4.61,0.42,,
32,Peach,168,0.37,7.82,0.86,,
33,Pear,157,0.27,8.09,0.36,,
34,Phalsa,299,0.14,15.09,1.66,,
35,Pineapple,180,0.16,9.42,0.52,,
36,Plum,238,0.4,12.1,0.64,,
37,Pomengranate,229,0.15,11.58,1.33,,
38,Pummelo,210,0.42,10.64,0.68,,
