ItemID,Item_name,Bowl,Cup,1tablespoon,1teaspoon,small,medium,large
1,Bajra,,207,,,,,
2,Barley,,184,,,,,
3,Jowar,,117,,,,,
4,Maize,,177,,,,,
5,Quinoa,,222,,,,,
6,Ragi,,119,,,,,
7,Rice puffed,,56,,,,,
8,Brown Rice,,216,,,,,
9,Rice,,206,,,,,
10,Samai,,329,,,,,
11,Varagu,,353,,,,,
12,Wheat flour,,455,,,,,
13,Wheat whole,,408,,,,,
14,Vermicelli,,463,,,,,
15,Semolina,,601,,,,,
16,Bengal gram,,729,,,,,
17,Black gram,,100,,,,,
18,Whole black gram,,345,,,,,
19,Cowpea,,198,,,,,
20,Field bean,,111,,,,,
21,Green gram,,718,,,,,
22,Horse gram,,316,,,,,
23,Bathua leaves,,43,,,,,
24,Beet greens,,38.8,,,,,
25,Brussels sprouts,,56.2,,,,,
26,Betel leaves,,45,,,,,
27,Cabbage,,17,,,,,
28,Violet Cabbage,,22,,,,,
29,Cauliflower,,27,,,,,
30,Drumstick,,289,,,,,
31,Fenugreek,,576,,,,,
32,Mustard leaves,,15,,,,,
33,Lettuce,,5,,,,,
34,Parsley,,22,,,,,
35,Pumpkin leaves,,7,,,,,
36,Radish leaves,,15,,,,,
37,Spinach,,7,,,,,
38,Tamarind leaves,,259,,,,,
39,Ash gourd,,17,,,,,
40,Bitter gourd,,20,,,,,
41,Bottle gourd,,19,,,,,
42,Brinjal,,20,,,,,
43,Green capsicum,,,,,,,
44,Red Capsicum,,149,9.3,,,,
45,Yellow Capsicum,,149,9.3,,,,
46,Cauliflower,,107,,,,,
47,Celery Stalk,,101,7.5,,,,
48,Cho-cho-marrow,,165,,,,,
49,Cluster Beans,,150,,,,,
50,Baby Corn,,164,,,,,
51,Cucumber,,133,8.3,,,,
52,Drumstick,,100,,,,,
53,Field Beans,,150,9.4,,,,
54,French Beans,,184,11.5,,,,
55,Raw Jack Fruit,,151,,,,,
56,Ripe Jack Fruit,,151,,,,,
57,Knol-Khol,,135,,,,,
58,Kovai,,244.4,,,,,
59,Ladies Finger,,100,,,,,
60,Green Mango,,165,10.3,,,,
61,Onion Stalk,,100,6,,70,90,150
62,Papaya,,190,,,,,
63,Parwar,,,,,,,
64,Peas,,145,9,,,,
65,Plantain Flower,,,,,,,
66,Plantain Green,,148,9.25,,,,
67,Plantain Stem,,148,,,,,
68,Pumpkin,,116,,,,,
69,Red Gram,,205,,,,,
70,Ridge Gourd,,95,,,,,
71,Snake Gourd,,95,,,,,
72,Tinda,,,,,,,
73,Tomato,,165,11,,91,123,182
74,Zucchini,,124,7.7,,,,
75,Red Apple,,112,,,,,
76,Green Apple,,125,,,,,
77,Kashmiri Apple,,125,,,,,
78,Fresh Apricot,,165,,,,,
79,Dried Apricot,,119,,,,,
80,Avocado,,146,,,,,
81,Bael Fruit,,80,,,,,
82,Banana,,150,,,,,
83,Black Berry,,140,,,,,
84,Red Cherries,,140,,,,,
85,Currants Black,,112,,,,,
86,Custard Apple,,,,,,,
87,Pale Brown dates,,160,,,,,
88,Dark Brown Dates,,160,,,,,
89,Processed Dates,,160,,,,,
90,Fig,,,,,,,
91,Gooseberry,,100,,,,,
92,Black grapes seeded,,92,,,,,
93,Green grapes seeded,,151,,,,,
94,Red grapes seeded,,160,,,,,
95,Black grapes seedless,,92,,,,,
96,Green grapes seedless,,151,,,,,
97,Red grapes seedless,,160,,,,,
98,White Flesh Guava,,194,,,,,
99,Pink Flesh Guava,,165,,,,,
100,Jack Fruit,,151,,,,,
101,Jambu Fruit,,135,,,,,
102,Karonda fruit,,180,,,,,
103,Lemon Juice,,244,15,5,,,
104,Lime sweet,,,,,,,
105,Litchi,,190,,,,,
106,Mango riped,,165,,,,,
107,Mango riped himsagar,,165,,,,,
108,Mango riped totapari,,165,,,,,
109,Mango riped kesar,,165,,,,,
110,Mango riped neelam,,165,,,,,
111,Mango Riped paheri,,165,,,,,
112,Mangosteen,,216,13.5,,,,
113,Manilla Tamarind,,,,,,,
114,Musk melon,,177,,,,,
115,Orange,,180,,,,,
116,Palm Fruit,,80,,,,,
117,Papaya,,145,,,,,
118,Peach,,154,,,,,
119,Pear,,140,,,,,
120,Phalsa,,,,,,,
121,Pineapple,,165,,,,,
122,Plum,,165,,,,,
123,Pomengranate,,174,11,,,,
