filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Aaloo Chips 1.jpg,731,549,Aaloo Chips,378,57,613,189,0
Aaloo Chips 10.jpg,500,500,Aaloo Chips,215,260,343,423,1
Aaloo Chips 11.jpg,1200,899,Aaloo Chips,359,224,761,727,2
Aaloo Chips 12.jpg,1500,1500,Aaloo Chips,596,457,945,890,3
Aaloo Chips 13.jpg,550,309,Aaloo Chips,365,36,532,261,4
Aaloo Chips 15.jpg,620,330,Aaloo Chips,160,60,264,181,5
Aaloo Chips 16.jpeg,312,271,Aaloo Chips,53,137,132,211,6
Aaloo Chips 17.jpg,720,540,Aaloo Chips,260,115,428,261,7
Aaloo Chips 19.jpg,500,500,Aaloo Chips,183,163,308,293,8
Aaloo Chips 2.jpg,1200,600,Aaloo Chips,613,167,852,328,9
Aaloo Chips 20.jpg,650,438,Aaloo Chips,143,84,408,267,10
Aaloo Chips 21.jpg,480,360,Aaloo Chips,153,213,253,290,11
Aaloo Chips 22.jpg,480,360,Aaloo Chips,156,209,254,314,12
Aaloo Chips 24.jpg,480,360,Aaloo Chips,176,196,301,300,13
Aaloo Chips 25.jpeg,300,168,Aaloo Chips,193,76,245,130,14
Aaloo Chips 26.jpeg,183,275,Aaloo Chips,44,172,108,215,15
Aaloo Chips 27.jpeg,308,164,Aaloo Chips,78,30,131,91,16
Aaloo Chips 28.jpg,900,600,Aaloo Chips,316,141,530,253,17
Aaloo Chips 29.jpeg,225,225,Aaloo Chips,34,46,100,107,18
Aaloo Chips 3.jpeg,500,227,Aaloo Chips,395,36,495,149,19
Aaloo Chips 30.jpeg,259,194,Aaloo Chips,74,1,152,75,20
Aaloo Chips 32.jpg,194,259,Aaloo Chips,1,28,76,115,21
Aaloo Chips 34.jpg,1280,720,Aaloo Chips,425,141,706,417,22
Aaloo Chips 35.jpg,300,168,Aaloo Chips,181,81,225,135,23
Aaloo Chips 36.jpg,265,190,Aaloo Chips,72,75,158,140,24
Aaloo Chips 37.jpg,207,243,Aaloo Chips,88,49,139,105,25
Aaloo Chips 38.jpg,225,225,Aaloo Chips,48,121,158,174,26
Aaloo Chips 39.jpg,240,210,Aaloo Chips,76,17,179,71,27
Aaloo Chips 40.jpeg,416,416,Aaloo Chips,225,133,329,226,28
Aaloo Chips 43.jpg,249,202,Aaloo Chips,102,76,136,110,29
Aaloo Chips 45.png,1066,652,Aaloo Chips,518,196,752,364,30
Aaloo Chips 46.jpg,280,180,Aaloo Chips,197,23,259,88,31
Aaloo Chips 50.jpg,275,183,Aaloo Chips,63,43,104,109,32
Aaloo Chips 51.jpg,230,200,Aaloo Chips,91,72,146,119,33
Aaloo Chips 52.jpg,500,500,Aaloo Chips,183,200,359,350,34
Aaloo Chips 53.jpg,259,194,Aaloo Chips,52,66,208,155,35
Aaloo Chips 54.jpg,275,183,Aaloo Chips,72,36,209,125,36
Aaloo Chips 55.jpg,225,225,Aaloo Chips,114,77,183,146,37
Aaloo Chips 56.jpg,800,800,Aaloo Chips,267,137,480,277,38
Aaloo Chips 57.jpg,300,168,Aaloo Chips,143,97,198,148,39
Aaloo Chips 58.jpg,225,225,Aaloo Chips,97,115,153,192,40
Aaloo Chips 59.jpg,300,168,Aaloo Chips,63,34,103,100,41
Aaloo Chips 6.jpeg,1024,768,Aaloo Chips,411,128,703,423,42
Aaloo Chips 60.jpg,204,248,Aaloo Chips,95,143,134,189,43
Aaloo Chips 61.jpg,500,410,Aaloo Chips,135,29,348,114,44
Aaloo Chips 62.jpg,500,500,Aaloo Chips,150,61,347,235,45
Aaloo Chips 63.jpeg,416,220,Aaloo Chips,146,1,291,67,46
Aaloo Chips 64.jpg,782,782,Aaloo Chips,351,11,741,291,47
Aaloo Chips 65.jpg,678,381,Aaloo Chips,344,221,520,380,48
Aaloo Chips 7.jpg,1200,900,Aaloo Chips,343,149,594,543,49
Aaloo Chips 8.jpg,750,563,Aaloo Chips,311,280,413,400,50
Aaloo Chips 9.jpg,1200,900,Aaloo Chips,833,153,1094,486,51
Aamla Murabba 1.jpg,720,540,Aamla Murabba,206,6,470,233,52
Aamla Murabba 10.jpg,696,905,Aamla Murabba,330,266,510,420,53
Aamla Murabba 11.jpg,500,500,Aamla Murabba,341,244,429,326,54
Aamla Murabba 13.jpg,550,309,Aamla Murabba,169,85,312,228,55
Aamla Murabba 14.jpeg,299,169,Aamla Murabba,133,63,185,114,56
Aamla Murabba 15.jpeg,198,254,Aamla Murabba,89,87,135,136,57
Aamla Murabba 16.jpeg,300,296,Aamla Murabba,142,70,201,121,58
Aamla Murabba 18.jpeg,259,194,Aamla Murabba,99,38,170,99,59
Aamla Murabba 19.jpg,212,238,Aamla Murabba,11,31,182,189,60
Aamla Murabba 2.jpg,1100,1100,Aamla Murabba,464,691,711,898,61
Aamla Murabba 20.jpg,237,212,Aamla Murabba,81,51,171,139,62
Aamla Murabba 21.jpg,267,189,Aamla Murabba,57,59,123,128,63
Aamla Murabba 22.jpg,250,202,Aamla Murabba,59,74,131,149,64
Aamla Murabba 23.jpeg,960,1280,Aamla Murabba,1,288,956,1280,65
Aamla Murabba 24.jpg,309,163,Aamla Murabba,183,40,225,77,66
Aamla Murabba 26.jpg,168,300,Aamla Murabba,46,76,103,132,67
Aamla Murabba 27.jpg,288,175,Aamla Murabba,189,48,229,89,68
Aamla Murabba 29.jpg,300,168,Aamla Murabba,125,83,202,156,69
Aamla Murabba 3.jpeg,800,369,Aamla Murabba,455,166,590,308,70
Aamla Murabba 30.jpg,185,272,Aamla Murabba,85,143,127,180,71
Aamla Murabba 31.jpg,259,194,Aamla Murabba,121,56,229,167,72
Aamla Murabba 32.jpg,267,189,Aamla Murabba,110,117,180,189,73
Aamla Murabba 33.jpg,259,194,Aamla Murabba,115,49,159,95,74
Aamla Murabba 34.jpg,800,584,Aamla Murabba,427,185,740,468,75
Aamla Murabba 35.jpg,225,225,Aamla Murabba,68,79,156,158,76
Aamla Murabba 36.jpg,183,275,Aamla Murabba,44,180,92,230,77
Aamla Murabba 37.jpg,300,168,Aamla Murabba,104,45,178,109,78
Aamla Murabba 38.jpg,225,225,Aamla Murabba,117,59,168,106,79
Aamla Murabba 39.jpg,100,100,Aamla Murabba,32,20,74,57,80
Aamla Murabba 4.jpg,1087,904,Aamla Murabba,148,479,383,688,81
Aamla Murabba 40.jpeg,416,309,Aamla Murabba,99,74,160,133,82
Aamla Murabba 42.jpg,259,194,Aamla Murabba,71,31,127,81,83
Aamla Murabba 43.jpg,267,189,Aamla Murabba,119,33,179,89,84
Aamla Murabba 44.jpg,284,177,Aamla Murabba,122,7,179,68,85
Aamla Murabba 45.jpg,1190,892,Aamla Murabba,537,222,711,397,86
Aamla Murabba 46.jpg,225,225,Aamla Murabba,81,57,138,103,87
Aamla Murabba 48.jpg,219,230,Aamla Murabba,71,113,151,176,88
Aamla Murabba 49.jpg,300,168,Aamla Murabba,157,23,267,118,89
Aamla Murabba 5.png,500,366,Aamla Murabba,134,212,258,332,90
Aamla Murabba 50.jpg,275,183,Aamla Murabba,124,41,168,83,91
Aamla Murabba 51.jpg,300,168,Aamla Murabba,73,47,163,139,92
Aamla Murabba 52.jpg,1800,1800,Aamla Murabba,747,966,1111,1322,93
Aamla Murabba 53.jpg,267,189,Aamla Murabba,83,98,156,186,94
Aamla Murabba 54.jpg,273,185,Aamla Murabba,128,55,230,161,95
Aamla Murabba 55.jpg,225,225,Aamla Murabba,78,119,174,196,96
Aamla Murabba 56.jpg,800,800,Aamla Murabba,486,205,780,544,97
Aamla Murabba 57.jpg,183,276,Aamla Murabba,63,108,114,162,98
Aamla Murabba 58.jpg,300,168,Aamla Murabba,86,31,137,79,99
Aamla Murabba 59.jpg,300,168,Aamla Murabba,217,48,275,103,100
Aamla Murabba 63.jpg,225,225,Aamla Murabba,24,55,125,153,101
Aamla Murabba 65.jpg,249,203,Aamla Murabba,79,84,135,123,102
Aamla Murabba 66.jpg,259,194,Aamla Murabba,74,2,169,84,103
Aamla Murabba 67.jpg,580,430,Aamla Murabba,75,142,325,402,104
Aamla Murabba 69.jpg,259,194,Aamla Murabba,169,1,232,65,105
Aamla Murabba 7.jpg,1200,900,Aamla Murabba,467,178,792,460,106
Aamla Murabba 71.jpg,267,189,Aamla Murabba,114,40,179,102,107
